Reading,Timestamp,,ObjectTemp_C
1034,10469430,,43.29
1035,10479478,,44.01
1036,10489541,,43.63
1037,10499598,,43.41
1038,10509899,,43.41
1039,10520894,,43.39001
1040,10531057,,43.61001
1041,10541108,,43.30999
1042,10551179,,43.41
1043,10561232,,43.30999
1044,10571279,,43.30999
1045,10581336,,43.63
1046,10591391,,43.33001
1047,10601458,,43.33001
1048,10611513,,43.27001
1049,10621562,,43.33001
1050,10631820,,43.67001
1051,10641873,,43.08999
1052,10651920,,43.39001
1053,10661971,,43.58999
1054,10672411,,43.58999
1055,10683152,,43.41
1056,10693213,,43.20998
1057,10703289,,43.41
1058,10713349,,43.36999
1059,10723414,,43.36999
1060,10733466,,43.36999
1061,10743527,,43.46999
1062,10753588,,43.58999
1063,10763643,,43.41
1064,10773703,,43.51
1065,10783752,,43.29
1066,10794068,,43.49001
1067,10804213,,43.30999
1068,10814944,,43.57
1069,10824992,,43.61001
1070,10835043,,43.46999
1071,10845355,,43.46999
1072,10855406,,43.36999
1073,10865452,,43.57
1074,10875503,,43.29
1075,10885569,,43.07
1076,10895621,,43.61001
1077,10905677,,43.36999
1078,10915741,,43.39001
1079,10926163,,43.51
1080,10936605,,43.46999
1081,10946661,,43.49001
1082,10956844,,43.46999
1083,10966892,,43.23
1084,10976944,,43.36999
1085,10987294,,43.58999
1086,10997748,,43.41
1087,11007807,,43.33001
1088,11017857,,43.11001
1089,11027902,,43.61001
1090,11037991,,43.42999
1091,11048978,,43.42999
1092,11059132,,43.41
1093,11069208,,43.57
1094,11079420,,43.36999
1095,11089504,,43.49001
1096,11099555,,43.39001
1097,11109602,,43.33001
1098,11119666,,43.42999
1099,11129714,,43.33001
1100,11139767,,43.39001
1101,11150379,,43.39001
1102,11160469,,43.68999
1103,11170659,,43.58999
1104,11180748,,43.23
1105,11190794,,43.63
1106,11201068,,43.42999
1107,11211151,,43.61001
1108,11221345,,43.20998
1109,11231398,,43.30999
1110,11241469,,43.41
1111,11251589,,43.41
1112,11261643,,43.30999
1113,11271698,,43.23
1114,11281743,,43.33001
1115,11291802,,43.39001
1116,11301865,,43.33001
1117,11311916,,43.13
1118,11321977,,43.52999
1119,11332582,,43.68999
1120,11342638,,43.46999
1121,11353438,,43.39001
1122,11363524,,43.30999
1123,11373717,,43.41
1124,11383772,,43.42999
1125,11393836,,43.49001
1126,11403889,,43.41
1127,11413937,,43.52999
1128,11424001,,43.36999
1129,11434051,,43.36999
1130,11444116,,43.30999
1131,11454173,,43.58999
1132,11464229,,43.33001
1133,11474276,,43.13
1134,11484334,,43.57
1135,11494403,,43.41
1136,11504578,,43.30999
1137,11514669,,43.39001
1138,11524860,,43.36999
1139,11534911,,43.30999
1140,11544983,,43.42999
1141,11555610,,43.17001
1142,11565861,,43.58999
1143,11575920,,43.52999
1144,11585978,,43.39001
1145,11596033,,43.36999
1146,11606614,,43.49001
1147,11617061,,43.36999
1148,11627594,,43.61001
1149,11637651,,43.67001
1150,11647866,,43.39001
1151,11657930,,43.52999
1152,11667998,,43.63
1153,11678059,,43.42999
1154,11688126,,43.29
1155,11698429,,43.20998
1156,11708485,,43.30999
1157,11718548,,43.46999
1158,11728605,,43.33001
1159,11739570,,43.27001
1160,11749735,,43.41
1161,11759819,,43.29
1162,11769869,,43.29
1163,11779925,,43.51
1164,11790285,,43.23
1165,11800390,,43.36999
1166,11810567,,43.52999
1167,11820624,,43.42999
1168,11830837,,43.46999
1169,11840927,,43.18999
1170,11850994,,43.51
1171,11861061,,43.46999
1172,11871130,,43.41
1173,11881569,,43.42999
1174,11891620,,43.57
1175,11901795,,43.49001
1176,11911843,,43.42999
1177,11921907,,43.58999
1178,11931960,,43.29
1179,11942015,,43.68999
1180,11952076,,43.39001
1181,11962128,,43.27001
1182,11972201,,43.51
1183,11982253,,43.23
1184,11992307,,43.80999
1185,12002363,,43.36999
1186,12012427,,43.89001
1187,12022471,,43.79
1188,12032669,,43.52999
1189,12042722,,43.52999
1190,12052784,,43.57
1191,12063414,,43.23
1192,12073475,,43.33001
1193,12083668,,43.39001
1194,12093716,,43.41
1195,12103800,,43.51
1196,12114072,,43.46999
1197,12124126,,43.57
1198,12134177,,43.52999
1199,12144268,,43.36999
1200,12154369,,43.46999
1201,12164766,,43.27001
1202,12174820,,43.33001
1203,12184884,,43.17001
1204,12194937,,43.36999
1205,12205038,,43.20998
1206,12215690,,43.49001
1207,12225899,,43.49001
1208,12235994,,43.17001
1209,12246090,,43.39001
1210,12256153,,43.42999
1211,12266226,,43.13
1212,12276279,,43.23
1213,12286372,,43.51
1214,12296434,,43.20998
1215,12306484,,43.30999
1216,12316536,,43.46999
1217,12326588,,43.27001
1218,12336793,,43.33001
1219,12346937,,43.52999
1220,12357017,,43.42999
1221,12367073,,43.46999
1222,12377390,,43.52999
1223,12388112,,43.61001
1224,12398166,,43.42999
1225,12408221,,43.41
1226,12418273,,43.36999
1227,12428331,,43.20998
1228,12438831,,43.42999
1229,12448892,,43.46999
1230,12459064,,43.57
1231,12469555,,43.39001
1232,12479610,,43.63
1233,12489803,,43.18999
1234,12499868,,43.58999
1235,12509927,,43.18999
1236,12520224,,43.13
1237,12530286,,43.29
1238,12540339,,43.33001
1239,12550389,,43.36999
1240,12560450,,43.42999
1241,12570497,,43.68999
1242,12580557,,43.49001
1243,12590615,,43.51
1244,12600670,,43.42999
1245,12610726,,43.41
1246,12620814,,43.29
1247,12630859,,43.61001
1248,12640909,,43.41
1249,12651071,,43.33001
1250,12661118,,43.63
1251,12671190,,43.46999
1252,12681528,,43.61001
1253,12691583,,43.33001
1254,12701674,,43.33001
1255,12711732,,43.52999
1256,12721784,,43.30999
1257,12731829,,43.49001
1258,12741888,,43.27001
1259,12751940,,43.18999
1260,12761991,,43.41
1261,12772058,,43.49001
1262,12782244,,43.39001
1263,12792289,,43.33001
1264,12802348,,43.29
1265,12812402,,43.51
1266,12822455,,43.51
1267,12832500,,43.51
1268,12842558,,43.61001
1269,12852617,,43.73
1270,12863076,,43.58999
1271,12873127,,43.41
1272,12883311,,43.11001
1273,12893392,,43.52999
1274,12903446,,43.30999
1275,12913595,,43.36999
1276,12923643,,43.68999
1277,12933697,,43.51
1278,12943750,,43.27001
1279,12953818,,43.39001
1280,12963876,,43.23
1281,12973922,,43.29
1282,12984079,,43.36999
1283,12994134,,43.52999
1284,13004240,,43.52999
1285,13014490,,43.49001
1286,13024543,,43.52999
1287,13034593,,43.41
1288,13044650,,43.30999
1289,13054710,,43.36999
1290,13064765,,43.63
1291,13074816,,43.41
1292,13084870,,43.42999
1293,13094930,,43.41
1294,13105153,,43.52999
1295,13115203,,43.30999
1296,13125262,,43.61001
1297,13135564,,43.42999
1298,13145611,,43.58999
1299,13155811,,43.57
1300,13165872,,43.42999
1301,13175939,,43.41
1302,13186256,,43.36999
1303,13196311,,43.30999
1304,13206483,,43.39001
1305,13216539,,43.27001
1306,13226634,,43.41
1307,13236702,,43.58999
1308,13246760,,43.23
1309,13257528,,43.33001
1310,13267695,,43.42999
1311,13277743,,43.39001
1312,13287895,,43.30999
1313,13297990,,43.18999
1314,13308044,,43.41
1315,13318351,,43.68999
1316,13328404,,43.39001
1317,13338459,,43.29
1318,13348740,,43.30999
1319,13358795,,43.51
1320,13368848,,43.33001
1321,13378903,,43.11001
1322,13388963,,43.33001
1323,13399018,,43.27001
1324,13409092,,43.51
1325,13419145,,43.20998
1326,13429249,,43.61001
1327,13439299,,43.36999
1328,13449349,,43.30999
1329,13459484,,43.42999
1330,13469536,,43.29
1331,13479725,,43.41
1332,13490044,,43.73
1333,13500129,,43.77001
1334,13510312,,43.42999
1335,13520358,,43.29
1336,13530444,,43.18999
1337,13540731,,43.61001
1338,13550777,,43.07
1339,13560846,,43.30999
1340,13570901,,43.33001
1341,13580956,,43.77001
1342,13591006,,43.42999
1343,13601057,,43.29
1344,13611110,,43.49001
1345,13621166,,43.46999
1346,13631218,,43.36999
1347,13641490,,43.39001
1348,13651569,,43.20998
1349,13661623,,43.23
1350,13671671,,43.58999
1351,13682083,,43.41
1352,13692137,,43.41
1353,13702194,,43.58999
1354,13712494,,43.36999
1355,13722542,,43.18999
1356,13732732,,43.42999
1357,13742810,,43.36999
1358,13752870,,43.41
1359,13762922,,43.29
1360,13772972,,43.20998
1361,13783023,,43.58999
1362,13793079,,43.67001
1363,13803132,,43.51
1364,13813188,,43.27001
1365,13823251,,43.33001
1366,13833306,,43.79
1367,13843377,,43.52999
1368,13853439,,43.33001
1369,13863541,,43.33001
1370,13873595,,43.39001
1371,13883644,,43.33001
1372,13893789,,43.52999
1373,13904185,,43.29
1374,13914233,,43.36999
1375,13924430,,43.29
1376,13934507,,43.61001
1377,13944720,,43.52999
1378,13954784,,43.57
1379,13964973,,43.46999
1380,13975035,,43.23
1381,13985082,,43.36999
1382,13995134,,43.30999
1383,14005195,,43.20998
1384,14015258,,43.29
1385,14025318,,43.41
1386,14035562,,43.20998
1387,14045766,,43.33001
1388,14055854,,43.20998
1389,14065906,,43.39001
1390,14076480,,43.39001
1391,14086621,,43.36999
1392,14097072,,43.51
1393,14107128,,43.30999
1394,14117185,,43.23
1395,14127237,,43.41
1396,14137293,,43.46999
1397,14147345,,43.29
1398,14157420,,43.61001
1399,14167769,,43.52999
1400,14178513,,43.49001
1401,14188966,,43.33001
1402,14199373,,43.52999
1403,14209430,,43.41
1404,14219490,,43.39001
1405,14229535,,43.23
1406,14239915,,43.39001
1407,14250012,,43.58999
1408,14260196,,43.51
1409,14270287,,43.18999
1410,14280470,,43.77001
1411,14290556,,43.23
1412,14300749,,43.27001
1413,14310807,,43.23
1414,14320866,,43.46999
1415,14330920,,43.29
1416,14340965,,43.49001
1417,14351128,,43.33001
1418,14361183,,43.49001
1419,14371244,,43.52999
1420,14381294,,43.18999
1421,14391351,,43.49001
1422,14401411,,43.39001
1423,14411471,,43.30999
1424,14421526,,43.49001
1425,14431916,,43.46999
1426,14441969,,43.27001
1427,14452022,,43.39001
1428,14462672,,43.49001
1429,14473088,,43.51
1430,14483143,,43.52999
1431,14493226,,43.39001
1432,14503284,,43.42999
1433,14513336,,43.36999
1434,14523391,,43.51
1435,14533442,,43.17001
1436,14543520,,43.36999
1437,14553585,,43.49001
1438,14563639,,43.33001
1439,14573704,,43.30999
1440,14584036,,43.61001
1441,14594171,,43.23
1442,14604224,,43.18999
1443,14614274,,43.42999
1444,14624332,,43.51
1445,14634419,,43.39001
1446,14644852,,43.30999
1447,14655303,,43.41
1448,14665350,,43.29
1449,14675402,,43.13
1450,14685457,,43.33001
1451,14695588,,43.57
1452,14705650,,43.57
1453,14715702,,43.57
1454,14725926,,43.49001
1455,14736007,,43.33001
1456,14746189,,43.41
1457,14756251,,43.41
1458,14766303,,43.63
1459,14776395,,43.57
1460,14786509,,43.52999
1461,14797215,,43.33001
1462,14807668,,43.63
1463,14817723,,43.42999
1464,14827773,,43.27001
1465,14838083,,43.51
1466,14848498,,43.29
1467,14858552,,43.86999
1468,14868761,,43.30999
1469,14878860,,43.49001
1470,14888909,,43.33001
1471,14899210,,43.27001
1472,14909659,,43.20998
1473,14919717,,43.20998
1474,14929772,,43.33001
1475,14940074,,43.51
1476,14950122,,43.39001
1477,14960322,,43.27001
1478,14970399,,43.51
1479,14980451,,43.41
1480,14990503,,43.20998
1481,15000910,,43.30999
1482,15011348,,43.39001
1483,15021492,,43.30999
1484,15031550,,43.52999
1485,15041610,,43.36999
1486,15051669,,43.41
1487,15061723,,43.58999
1488,15071785,,43.99001
1489,15081833,,43.29
1490,15091893,,43.63
1491,15101957,,43.41
1492,15112005,,43.29
1493,15122058,,43.29
1494,15132387,,43.36999
1495,15142793,,43.41
1496,15152876,,43.23
1497,15162926,,43.58999
1498,15172977,,43.52999
1499,15183380,,43.30999
1500,15193531,,43.52999
1501,15203642,,43.27001
1502,15213697,,43.68999
1503,15223756,,43.51
1504,15233813,,43.39001
1505,15243871,,43.11001
1506,15253926,,43.33001
1507,15263971,,43.29
1508,15274306,,43.27001
1509,15284763,,43.27001
1510,15294818,,43.42999
1511,15304867,,43.57
1512,15315170,,43.27001
1513,15325690,,43.23
1514,15335745,,43.51
1515,15345802,,43.29
1516,15355856,,43.33001
1517,15365906,,43.30999
1518,15375963,,43.52999
1519,15386025,,43.91
1520,15396077,,43.18999
1521,15406410,,43.42999
1522,15416461,,43.52999
1523,15426648,,43.49001
1524,15436736,,43.33001
1525,15446945,,43.23
1526,15457006,,43.51
1527,15467204,,43.39001
1528,15477277,,43.52999
1529,15487425,,43.39001
1530,15497484,,43.36999
1531,15507769,,43.33001
1532,15517828,,43.18999
1533,15527886,,43.30999
1534,15537936,,43.57
1535,15547995,,43.30999
1536,15558062,,43.41
1537,15568116,,43.27001
1538,15578169,,43.67001
1539,15588218,,43.36999
1540,15598272,,43.33001
1541,15608351,,43.61001
1542,15618983,,43.20998
1543,15629445,,43.23
1544,15639610,,43.52999
1545,15649838,,43.52999
1546,15659897,,43.41
1547,15669954,,43.41
1548,15680013,,43.49001
1549,15690073,,43.58999
1550,15700119,,43.17001
1551,15710222,,43.49001
1552,15720268,,43.46999
1553,15730320,,43.52999
1554,15740648,,43.33001
1555,15750706,,43.39001
1556,15760890,,43.49001
1557,15770957,,43.30999
1558,15781162,,43.20998
1559,15791218,,43.36999
1560,15801272,,43.41
1561,15811612,,43.33001
1562,15821667,,43.29
1563,15831853,,43.83001
1564,15841910,,43.70998
1565,15851960,,43.08999
1566,15862014,,43.36999
1567,15872074,,43.17001
1568,15882140,,43.29
1569,15892212,,43.36999
1570,15902264,,43.57
1571,15912324,,43.30999
1572,15922374,,43.36999
1573,15932460,,43.52999
1574,15942549,,43.36999
1575,15954113,,43.23
1576,15964170,,43.36999
1577,15974225,,43.20998
1578,15984274,,43.33001
1579,15994692,,43.23
1580,16005128,,43.42999
1581,16015202,,43.33001
1582,16025388,,43.29
1583,16035463,,43.42999
1584,16045525,,43.42999
1585,16055576,,43.36999
1586,16065676,,43.33001
1587,16076076,,43.42999
1588,16086132,,43.36999
1589,16096197,,43.36999
1590,16106286,,43.67001
1591,16116333,,43.30999
1592,16126389,,43.29
1593,16136445,,43.41
1594,16146497,,43.41
1595,16156553,,43.27001
1596,16166608,,43.77001
1597,16176676,,43.36999
1598,16187305,,43.46999
1599,16197420,,43.17001
1600,16207493,,43.36999
1601,16217701,,43.63
1602,16227755,,43.42999
1603,16237967,,43.39001
1604,16248048,,43.20998
1605,16258108,,43.41
1606,16268162,,43.46999
1607,16278219,,43.33001
1608,16288276,,43.36999
1609,16298330,,43.33001
1610,16308380,,43.46999
1611,16318443,,43.29
1612,16328516,,43.46999
1613,16338572,,43.51
1614,16348625,,43.36999
1615,16358730,,43.58999
1616,16368774,,43.52999
1617,16378823,,43.46999
1618,16388880,,43.27001
1619,16398989,,43.36999
1620,16409049,,43.49001
1621,16419226,,43.23
1622,16429297,,43.46999
1623,16439346,,43.30999
1624,16449667,,43.49001
1625,16460122,,43.42999
1626,16470170,,43.52999
1627,16480260,,43.27001
1628,16490313,,43.61001
1629,16500372,,43.57
1630,16510418,,43.46999
1631,16520467,,43.41
1632,16530535,,43.36999
1633,16540616,,43.67001
1634,16550667,,43.70998
1635,16560726,,43.36999
1636,16570784,,43.39001
1637,16580850,,43.36999
1638,16590897,,43.52999
1639,16601082,,43.46999
1640,16611173,,43.39001
1641,16621220,,43.41
1642,16631530,,43.57
1643,16642244,,43.29
1644,16652328,,43.33001
1645,16662388,,43.42999
1646,16672453,,43.46999
1647,16682504,,43.39001
1648,16692554,,43.23
1649,16702611,,43.39001
1650,16712658,,43.57
1651,16722723,,43.41
1652,16732788,,43.57
1653,16742848,,43.18999
1654,16752898,,43.23
1655,16763025,,43.39001
1656,16773171,,43.33001
1657,16783608,,43.42999
1658,16794040,,43.49001
1659,16804094,,43.46999
1660,16814280,,43.57
1661,16824359,,43.29
1662,16834414,,43.36999
1663,16844460,,43.58999
1664,16854518,,43.68999
1665,16864582,,43.57
1666,16874630,,43.57
1667,16884684,,43.30999
1668,16894754,,43.18999
1669,16904807,,43.33001
1670,16914883,,43.33001
1671,16924934,,43.36999
1672,16935356,,43.20998
1673,16945509,,43.49001
1674,16955944,,43.51
1675,16966344,,43.33001
1676,16976436,,43.57
1677,16986530,,43.23
1678,16996598,,43.18999
1679,17006671,,43.42999
1680,17016725,,43.42999
1681,17026779,,43.51
1682,17036878,,43.49001
1683,17046934,,43.27001
1684,17056993,,43.52999
1685,17067056,,43.29
1686,17077241,,43.23
1687,17087319,,43.29
1688,17097533,,43.51
1689,17107593,,43.73
1690,17117651,,43.49001
1691,17127754,,43.46999
1692,17137821,,43.36999
1693,17147881,,43.41
1694,17158048,,43.39001
1695,17168095,,43.49001
1696,17178143,,43.52999
1697,17188504,,43.29
1698,17198941,,43.29
1699,17209018,,43.49001
1700,17219070,,43.83001
1701,17229152,,43.11001
1702,17239213,,43.80999
1703,17249633,,43.41
1704,17260066,,43.46999
1705,17270477,,43.52999
1706,17280563,,43.41
1707,17290662,,43.33001
1708,17300729,,43.52999
